task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	cb/6a8fdd	2158607	calling_pipeline:getParams	COMPLETED	0	2025-02-23 09:05:50.683	557ms	20ms	28.1%	0	0	77.4 KB	2.2 KB
1	8d/45a1bc	2158631	calling_pipeline:prokkaVersion	COMPLETED	0	2025-02-23 09:05:50.706	910ms	482ms	36.3%	4.7 MB	13.4 MB	1.5 MB	267 B
4	4a/27afcb	2159341	calling_pipeline:medakaVersion	COMPLETED	0	2025-02-23 09:05:51.662	7.3s	6.6s	61.5%	405.1 MB	4.2 GB	20.3 MB	346 B
5	9e/13bd79	2160407	calling_pipeline:mlstVersion	COMPLETED	0	2025-02-23 09:05:58.975	781ms	354ms	43.6%	3.4 MB	7.7 MB	946.3 KB	290 B
6	90/116dcf	2160649	calling_pipeline:getVersions	COMPLETED	0	2025-02-23 09:05:59.813	1.2s	916ms	66.9%	2.7 MB	3.8 MB	3.8 MB	387 B
3	11/8d0ca5	2158655	checkBamHeaders (1)	COMPLETED	0	2025-02-23 09:05:50.741	11.6s	11s	59.4%	50.7 MB	68.9 MB	23.3 MB	540 B
7	eb/759422	2160917	fastcat (1)	COMPLETED	0	2025-02-23 09:06:02.363	11m 48s	11m 47s	275.6%	131 MB	566.3 MB	160.9 GB	118.9 GB
10	46/a73bdd	2194960	calling_pipeline:alignReads (1)	COMPLETED	0	2025-02-23 09:17:50.144	8m	8m	411.2%	2.6 GB	11.7 GB	114.5 GB	81.2 GB
8	6f/bde910	2208879	calling_pipeline:collectFastqIngressResultsInDir (1)	COMPLETED	0	2025-02-23 09:25:50.700	340ms	15ms	78.0%	0	0	93.9 KB	562 B
11	43/4fe7e4	2208798	calling_pipeline:perSampleReportingCheckpoint (1)	COMPLETED	0	2025-02-23 09:25:50.620	466ms	21ms	25.6%	0	0	78.7 KB	399 B
12	a2/fcdedf	2208852	calling_pipeline:amrCheckpoint (1)	COMPLETED	0	2025-02-23 09:25:50.678	427ms	15ms	60.7%	0	0	78.6 KB	385 B
9	e3/a2e61b	2208806	calling_pipeline:ingressCheckpoint (1)	COMPLETED	0	2025-02-23 09:25:50.643	471ms	12ms	85.9%	0	0	78.8 KB	578 B
